state,abortion,religion,price,laws,funds,educ,income,picket,lnabortion
MISSISSIPPI,12.39999962,38,256,0,0,64.30000305,14082,100,2.517696381
NEW_MEXICO,17.70000076,44.70000076,332,0,0,75.09999847,15458,20,2.87356472
UTAH,9.300000191,76.69999695,298,1,0,85.09999847,15573,0,2.230014324
WEST_VIRGINIA,7.699999809,9.800000191,251,0,1,66,15598,50,2.041220188
ARKANSAS,13.5,30,248,1,0,66.30000305,15635,33,2.602689743
LOUISIANA,13.39999962,50.90000153,228,1,0,68.30000305,15931,60,2.59525466
SOUTH_CAROLINA,14.19999981,30.29999924,292,1,0,68.30000305,16212,57,2.653241873
MONTANA,18.20000076,26.89999962,329,0,0,81,16227,50,2.901421547
OKLAHOMA,12.5,36.29999924,281,0,0,74.59999847,16420,75,2.525728703
ALABAMA,18.20000076,36.40000153,272,1,0,66.90000153,16522,89,2.901421547
KENTUCKY,11.39999962,36.70000076,320,0,0,64.59999847,16528,75,2.4336133
IDAHO,7.199999809,36.79999924,303,0,0,79.69999695,16649,50,1.974081039
NORTH_DAKOTA,10.69999981,56.29999924,370,1,0,76.69999695,17048,100,2.370243788
SOUTH_DAKOTA,6.800000191,38.90000153,400,0,0,66.30000305,17198,100,1.916922688
ARIZONA,24.10000038,29.29999924,249,0,0,78.69999695,17401,55,3.182211876
TENNESSEE,16.20000076,30.89999962,300,0,0,67.09999847,17674,43,2.785011292
NORTH_CAROLINA,22.39999962,25.89999962,291,0,1,70,17863,54,3.109061003
MAINE,14.69999981,22.39999962,328,0,0,78.80000305,18163,0,2.687847376
IOWA,11.39999962,29.20000076,280,0,0,80.09999847,18275,50,2.4336133
INDIANA,12,16.5,288,1,0,75.59999847,18366,67,2.484906673
TEXAS,23.10000038,41.79999924,257,0,0,72.09999847,18437,56,3.139832735
GEORGIA,24,28.60000038,319,1,0,70.90000153,18549,50,3.178053856
OREGON,23.89999962,15.80000019,248,0,1,81.5,18605,50,3.173878431
WYOMING,4.300000191,29.29999924,378,1,0,83,18631,100,1.458615065
VERMONT,21.20000076,26.60000038,276,0,1,80.80000305,18792,50,3.054001331
MISSOURI,11.60000038,32.20000076,348,1,0,66.90000153,18970,50,2.45100522
NEBRASKA,15.69999981,30.89999962,279,1,0,81.80000305,18974,100,2.753660679
WISCONSIN,13.60000038,41.59999847,276,1,0,78.59999847,19038,67,2.610069752
OHIO,19.5,24.70000076,298,1,0,75.69999695,19040,60,2.9704144
KANSAS,22.39999962,21.29999924,340,1,0,81.30000305,19387,67,3.109061003
MICHIGAN,25.20000076,28,352,1,0,76.80000305,19586,28,3.226844072
FLORIDA,30,22.60000038,271,0,0,74.40000153,19711,37,3.401197433
RHODE_ISLAND,30,63.90000153,322,1,0,72,20276,50,3.401197433
MINNESOTA,15.60000038,44.59999847,270,1,0,82.40000153,20503,67,2.747270823
PENNSYLVANIA,18.60000038,37,296,0,0,74.69999695,20642,82,2.923161507
COLORADO,23.60000038,21.20000076,309,0,0,84.40000153,20666,43,3.161246777
DELAWARE,35.20000076,19.79999924,247,0,0,77.5,20724,0,3.561046124
VIRGINIA,22.70000076,19.89999962,267,0,0,75.19999695,20883,38,3.122364998
WASHINGTON,27.70000076,17.79999924,270,0,1,83.80000305,21289,24,3.321432352
CALIFORNIA,42.09999847,28.10000038,293,0,1,76.19999695,21348,36,3.740047693
NEVADA,44.20000076,23.5,275,0,0,78.80000305,21648,33,3.788724899
ILLINOIS,25.39999962,37.09999847,272,0,0,76.19999695,21774,47,3.234749079
NEW_HAMPSHIRE,14.60000038,27.79999924,372,0,0,82.19999695,21933,50,2.681021452
ALASKA,16.5,18.10000038,461,0,1,86.59999847,22067,0,2.803360462
HAWAII,46,26.70000076,422,0,1,80.09999847,22200,0,3.828641415
MARYLAND,26.39999962,22.79999924,264,0,0,78.40000153,23268,50,3.273364067
MASSACHUSETTS,28.39999962,50.09999847,330,1,1,80,23676,70,3.346389055
NEW_YORK,46.20000076,41.79999924,338,0,1,74.80000305,24095,60,3.832979918
NEW_JERSEY,31,42.70000076,316,0,1,76.69999695,26091,64,3.433987141
CONNECTICUT,26.20000076,43.40000153,374,0,1,79.19999695,27150,60,3.265759468