cm,flr,pgnp,tfr
128,37,1870,6.659999847
204,22,130,6.150000095
202,16,310,7
197,65,570,6.25
96,76,2050,3.809999943
209,26,200,6.440000057
170,45,670,6.190000057
240,29,300,5.889999866
241,11,120,5.889999866
55,55,290,2.359999895
75,87,1180,3.930000067
129,55,900,5.989999771
24,93,1730,3.5
165,31,1150,7.409999847
94,77,1160,4.210000038
96,80,1270,5
148,30,580,5.269999981
98,69,660,5.210000038
161,43,420,6.5
118,47,1080,6.119999886
269,17,290,6.190000057
189,35,270,5.050000191
126,58,560,6.159999847
12,81,4240,1.799999952
167,29,240,4.75
135,65,430,4.099999905
107,87,3020,6.659999847
72,63,1420,7.28000021
128,49,420,8.119999886
27,63,19830,5.230000019
152,84,420,5.789999962
224,23,530,6.5
142,50,8640,7.170000076
104,62,350,6.599999905
287,31,230,7
41,66,1620,3.910000086
312,11,190,6.699999809
77,88,2090,4.199999809
142,22,900,5.429999828
262,22,230,6.5
215,12,140,6.25
246,9,330,7.099999905
191,31,1010,7.099999905
182,19,300,7
37,88,1730,3.460000038
103,35,780,5.659999847
67,85,1300,4.820000172
143,78,930,5
83,85,690,4.739999771
223,33,200,8.489999771
240,19,450,6.5
312,21,280,6.5
12,79,4430,1.690000057
52,83,270,3.25
79,43,1340,7.170000076
61,88,670,3.519999981
168,28,410,6.090000153
28,95,4370,2.859999895
121,41,1310,4.880000114
115,62,1470,3.890000105
186,45,300,6.900000095
47,85,3630,4.099999905
178,45,220,6.090000153
142,67,560,7.199999809