,Y,K,L
 60Q1,2279.2 ,54.05 ,17.12 
 60Q2,2265.5 ,54.52 ,16.96 
 60Q3,2268.3 ,54.83 ,16.72 
 60Q4,2238.6 ,53.79 ,16.40 
 61Q1,2251.7 ,53.36 ,16.11 
 61Q2,2292.0 ,53.40 ,16.25 
 61Q3,2332.6 ,54.00 ,16.40 
 61Q4,2381.0 ,54.87 ,16.55 
 62Q1,2422.6 ,56.09 ,16.73 
 62Q2,2448.0 ,56.97 ,16.90 
 62Q3,2471.9 ,57.87 ,16.91 
 62Q4,2476.7 ,58.17 ,16.89 
 63Q1,2508.7 ,58.55 ,16.89 
 63Q2,2538.1 ,59.25 ,17.00 
 63Q3,2586.3 ,59.66 ,17.03 
 63Q4,2604.6 ,60.03 ,17.06 
 64Q1,2666.7 ,60.68 ,17.11 
 64Q2,2697.5 ,61.06 ,17.20 
 64Q3,2729.6 ,61.74 ,17.37 
 64Q4,2739.7 ,63.41 ,17.43 
 65Q1,2808.9 ,64.26 ,17.71 
 65Q2,2846.3 ,65.31 ,17.92 
 65Q3,2898.8 ,66.81 ,18.18 
 65Q4,2970.5 ,68.21 ,18.43 
 66Q1,3042.4 ,70.06 ,18.79 
 66Q2,3055.5 ,72.57 ,19.16 
 66Q3,3076.5 ,75.39 ,19.37 
 66Q4,3102.4 ,77.99 ,19.53 
 67Q1,3127.2 ,80.54 ,19.54 
 67Q2,3129.5 ,81.92 ,19.39 
 67Q3,3154.2 ,83.11 ,19.36 
 67Q4,3178.0 ,84.65 ,19.51 
 68Q1,3236.2 ,85.72 ,19.62 
 68Q2,3292.1 ,87.56 ,19.75 
 68Q3,3316.1 ,89.08 ,19.81 
 68Q4,3331.2 ,90.56 ,19.94 
 69Q1,3381.9 ,92.61 ,20.09 
 69Q2,3390.2 ,94.61 ,20.19 
 69Q3,3409.7 ,96.52 ,20.27 
 69Q4,3392.6 ,98.15 ,20.12 
 70Q1,3386.5 ,99.06 ,19.96 
 70Q2,3391.6 ,100.10 ,19.60 
 70Q3,3423.0 ,101.03 ,19.29 
 70Q4,3389.4 ,101.60 ,18.64 
 71Q1,3481.4 ,101.90 ,18.67 
 71Q2,3500.9 ,102.22 ,18.63 
 71Q3,3523.8 ,102.28 ,18.56 
 71Q4,3533.8 ,102.57 ,18.63 
 72Q1,3604.7 ,103.46 ,18.82 
 72Q2,3687.9 ,104.93 ,19.07 
 72Q3,3726.2 ,106.93 ,19.16 
 72Q4,3790.4 ,108.12 ,19.56 
 73Q1,3892.2 ,111.65 ,19.93 
 73Q2,3919.0 ,115.25 ,20.12 
 73Q3,3907.1 ,119.10 ,20.18 
 73Q4,3947.1 ,124.50 ,20.39 
 74Q1,3908.1 ,131.33 ,20.30 
 74Q2,3922.6 ,139.42 ,20.25 
 74Q3,3880.0 ,149.20 ,20.17 
 74Q4,3854.1 ,157.63 ,19.61 
 75Q1,3800.9 ,159.94 ,18.46 
 75Q2,3835.2 ,158.52 ,18.12 
 75Q3,3907.0 ,158.29 ,18.21 
 75Q4,3952.5 ,159.71 ,18.50 
 76Q1,4044.6 ,162.44 ,18.80 
 76Q2,4072.2 ,166.56 ,18.99 
 76Q3,4088.5 ,170.93 ,19.07 
 76Q4,4126.4 ,174.64 ,19.13 
 77Q1,4176.3 ,178.13 ,19.34 
 77Q2,4260.1 ,182.59 ,19.64 
 77Q3,4329.5 ,186.24 ,19.82 
 77Q4,4328.3 ,188.38 ,19.95 
 78Q1,4345.5 ,191.97 ,20.21 
 78Q2,4510.7 ,197.74 ,20.42 
 78Q3,4552.1 ,204.74 ,20.57 
 78Q4,4603.7 ,211.69 ,20.85 
 79Q1,4605.7 ,216.40 ,21.05 
 79Q2,4615.6 ,224.84 ,21.12 
 79Q3,4644.9 ,234.18 ,21.05 
 79Q4,4656.2 ,242.16 ,20.95 
 80Q1,4679.0 ,250.24 ,20.85 
 80Q2,4566.6 ,258.01 ,20.28 
 80Q3,4562.3 ,260.96 ,19.89 
 80Q4,4651.9 ,265.22 ,20.13 
 81Q1,4739.2 ,269.86 ,20.22 
 81Q2,4696.8 ,274.74 ,20.28 
 81Q3,4753.0 ,282.34 ,20.25 
 81Q4,4693.8 ,283.41 ,19.95 
 82Q1,4615.9 ,321.88 ,19.46 
 82Q2,4634.9 ,318.32 ,18.99 
 82Q3,4612.1 ,316.67 ,18.55 
 82Q4,4618.3 ,311.85 ,18.13 
 83Q1,4663.0 ,302.94 ,18.07 
 83Q2,4763.6 ,304.39 ,18.25 
 83Q3,4849.0 ,308.46 ,18.53 
 83Q4,4939.2 ,312.38 ,18.89 
 84Q1,5053.6 ,318.88 ,19.17 
 84Q2,5132.9 ,329.87 ,19.37 
 84Q3,5170.3 ,338.62 ,19.48 
 84Q4,5203.7 ,339.52 ,19.48 
 85Q1,5257.3 ,339.14 ,19.43 
 85Q2,5283.7 ,337.95 ,19.29 
 85Q3,5359.6 ,335.10 ,19.17 
 85Q4,5393.6 ,334.75 ,19.11 
 86Q1,5460.8 ,330.17 ,19.07 
 86Q2,5466.9 ,327.24 ,18.98 
 86Q3,5496.3 ,323.49 ,18.88 
 86Q4,5526.8 ,322.65 ,18.86 
 87Q1,5561.8 ,324.13 ,18.88 
 87Q2,5618.0 ,326.45 ,18.92 
 87Q3,5667.4 ,330.75 ,19.02 
 87Q4,5750.6 ,338.11 ,19.17 
 88Q1,5785.3 ,345.16 ,19.24 
 88Q2,5844.0 ,352.69 ,19.30 
 88Q3,5878.7 ,359.05 ,19.32 
 88Q4,5952.8 ,369.37 ,19.40 
 89Q1,6011.0 ,378.37 ,19.47 
 89Q2,6055.6 ,386.13 ,19.45 
 89Q3,6088.0 ,389.76 ,19.36 
 89Q4,6093.5 ,391.21 ,19.28 
 90Q1,6152.6 ,395.31 ,19.21 
 90Q2,6171.6 ,397.05 ,19.19 
 90Q3,6142.1 ,403.67 ,19.07 
 90Q4,6079.0 ,405.07 ,18.84 
 91Q1,6047.5 ,402.04 ,18.56 
 91Q2,6074.7 ,395.55 ,18.41 
 91Q3,6090.1 ,392.50 ,18.37 
 91Q4,6105.3 ,390.95 ,18.28 
 92Q1,6175.7 ,387.01 ,18.13 
 92Q2,6214.2 ,385.26 ,18.14 
 92Q3,6260.7 ,386.22 ,18.10 
 92Q4,6327.1 ,382.55 ,18.06 
 93Q1,6327.9 ,382.48 ,18.10 
 93Q2,6359.9 ,384.90 ,18.06 
 93Q3,6393.5 ,385.23 ,18.05 
 93Q4,6476.9 ,384.14 ,18.09 
 94Q1,6524.5 ,386.83 ,18.17 
 94Q2,6600.3 ,391.31 ,18.27 
 94Q3,6629.5 ,397.10 ,18.37 
 94Q4,6688.6 ,405.03 ,18.48 
 95Q1,6703.7 ,414.69 ,18.56 
 95Q2,6708.8 ,422.37 ,18.55 
 95Q3,6759.2 ,427.15 ,18.51 
 95Q4,6796.5 ,429.09 ,18.49 
 96Q1,6826.4 ,431.36 ,18.47 
 96Q2,6926.0 ,429.80 ,18.49 
 96Q3,6943.8 ,432.67 ,18.50 
 96Q4,7017.4 ,434.43 ,18.53 
 97Q1,7101.6 ,438.56 ,18.58 
 97Q2,7159.6 ,444.82 ,18.63 
 97Q3,7214.0 ,449.15 ,18.67 
 97Q4,7280.0 ,453.59 ,18.76 
 98Q1,7365.6 ,459.09 ,18.83 