DATE,FFR,Tbill,Tb1yr,r5,r10,PPINSA,Finished,CPI,CPICORE,M1NSA,M2SA,M2NSA,Unemp,IndProd,RGDP,Potent,Deflator,Curr
1987Q1,6.22,5.54,5.92,6.74,7.19,100.9,104.33,111.8,63.43,725.77,8249.7,2747.1,6.6,56.5,7186.9,7280.7,64.16,207.3
1987Q2,6.65,5.66,6.77,7.95,8.34,102.5,105.27,113.07,63.99,745.03,8321,2772.63,6.27,57.51,7263.3,7336.2,64.526,212
1987Q3,6.84,6.04,7.13,8.42,8.88,103.67,105.93,114.27,64.62,744.97,8373.1,2790.77,6,58.54,7326.3,7391.7,65.033,217
1987Q4,6.92,5.86,7.24,8.63,9.12,104.17,105.93,115.33,65.28,758.03,8468.8,2826.6,5.83,59.97,7451.7,7447.5,65.53,223
1988Q1,6.66,5.72,6.78,7.91,8.42,104.77,106.43,116.23,65.96,753.43,8617.3,2870.53,5.7,60.51,7490.2,7503.7,66.068,225.5
1988Q2,7.16,6.21,7.3,8.42,8.91,106.5,107.23,117.57,66.75,773.27,8783.9,2926.73,5.47,61.02,7586.4,7560,66.689,230.7
1988Q3,7.98,7.01,8,8.76,9.1,108,108.73,119,67.52,782.07,8865.1,2954,5.47,61.29,7625.6,7616.7,67.442,236.1
1988Q4,8.47,7.73,8.53,8.8,8.96,108.5,109.6,120.3,68.24,790.27,8942.6,2984.77,5.33,61.71,7727.4,7673.6,67.953,240.6
1989Q1,9.44,8.54,9.29,9.31,9.21,110.93,111.77,121.67,69.03,779.43,8992,2996.4,5.2,61.98,7799.9,7730.9,68.723,242.1
1989Q2,9.73,8.41,8.93,8.83,8.77,112.8,113.7,123.63,69.64,776.37,9053.9,3016.73,5.23,61.76,7858.3,7789.1,69.399,245.8
1989Q3,9.08,7.84,8.1,8.03,8.11,112.4,113.73,124.6,70.12,778.3,9227.6,3073.73,5.23,61.36,7920.6,7847.5,69.855,249.3
1989Q4,8.61,7.65,7.83,7.84,7.91,112.83,114.97,125.87,70.77,794.67,9407.4,3139.43,5.37,61.6,7937.9,7906,70.317,252.6
1990Q1,8.25,7.76,8.13,8.38,8.42,114.5,117.6,128.03,71.64,793.97,9542.2,3179.97,5.3,62.03,8020.8,7964.7,71.166,256.1
1990Q2,8.24,7.75,8.27,8.65,8.68,114.33,117.5,129.3,72.58,806.9,9621.2,3207.5,5.33,62.5,8052.7,8023.2,71.993,262.8
1990Q3,8.16,7.48,7.83,8.43,8.7,116.47,119.27,131.53,73.32,813.6,9725.3,3238.83,5.7,62.76,8052.6,8081.3,72.655,270.8
1990Q4,7.74,6.99,7.3,8.03,8.4,119.87,122.17,133.77,73.95,827.8,9797.4,3269.23,6.13,61.77,7982,8138.9,73.239,278.6
1991Q1,6.43,6.02,6.44,7.65,8.02,117.47,121.9,134.77,74.7,829.17,9915.9,3304.93,6.6,60.59,7943.4,8195.3,74.026,285.1
1991Q2,5.86,5.56,6.24,7.78,8.13,116.3,121.43,135.57,75.33,849.63,10028.2,3343.43,6.83,60.96,7997,8250.4,74.553,289.1
1991Q3,5.64,5.38,5.89,7.49,7.94,116.13,121.3,136.6,76.08,863.17,10065.9,3351.07,6.87,61.79,8030.7,8304.9,75.133,294
1991Q4,4.82,4.54,4.87,6.56,7.35,116.23,122.2,137.73,76.73,893.97,10096.9,3370.2,7.1,61.91,8062.2,8359.1,75.569,299.8
1992Q1,4.02,3.89,4.36,6.59,7.3,115.9,122.23,138.67,77.46,920.37,10182.9,3392,7.37,61.84,8150.7,8413.2,75.954,302.6
1992Q2,3.77,3.68,4.22,6.65,7.38,117.17,122.93,139.73,78.04,949.2,10189.6,3397.87,7.6,62.93,8237.3,8467.4,76.423,308
1992Q3,3.26,3.08,3.42,5.61,6.62,117.87,123.47,140.8,78.51,971.6,10200.1,3396.03,7.63,63.38,8322.3,8522,76.778,315.9
1992Q4,3.04,3.07,3.56,5.91,6.74,117.83,124.17,142.03,79.01,1022.6,10271.5,3430,7.37,64.02,8409.8,8577.4,77.214,325.1
1993Q1,3.04,2.96,3.41,5.48,6.28,118.37,124.7,143.07,79.45,1030.73,10241.2,3410.03,7.13,64.57,8425.3,8634.5,77.677,330.5
1993Q2,3,2.97,3.38,5.18,5.99,119.5,125.53,144.1,79.95,1062,10286,3430.03,7.07,64.74,8479.2,8692.8,78.106,339
1993Q3,3.06,3,3.42,4.95,5.62,118.87,124.37,144.77,80.32,1090,10334.4,3440.63,6.8,65.06,8523.8,8752.4,78.466,348.5
1993Q4,2.99,3.06,3.53,4.97,5.61,118.9,124.33,145.97,80.7,1131.3,10395.8,3472.43,6.63,66.03,8636.4,8813.2,78.897,357.4
1994Q1,3.21,3.24,3.91,5.48,6.07,119.37,124.97,146.7,81.1,1132.2,10425.5,3470.37,6.57,66.86,8720.5,8875.3,79.311,364.5
1994Q2,3.94,3.99,5.13,6.67,7.08,120.03,125.13,147.53,81.62,1142,10452.5,3485.4,6.2,68.08,8839.8,8938.6,79.689,374.7
1994Q3,4.49,4.48,5.6,6.96,7.33,120.97,125.93,148.9,82.17,1147.13,10458.5,3482.9,6,68.94,8896.7,9003,80.163,384.7
1994Q4,5.17,5.28,6.6,7.63,7.84,121.43,126.07,149.77,82.6,1159.53,10455.8,3491.87,5.63,70.3,8995.5,9068.6,80.576,393.9
1995Q1,5.81,5.74,6.73,7.39,7.48,123.43,127.17,150.87,83.08,1144.7,10468.9,3485.63,5.47,71.17,9017.6,9135.2,81.038,398.8
1995Q2,6.02,5.6,5.97,6.4,6.62,124.93,127.77,152.1,83.58,1145.1,10566.5,3523.03,5.67,71.38,9037,9203.2,81.397,407.6
1995Q3,5.8,5.37,5.65,6.08,6.32,125.2,128,152.87,83.99,1141.13,10752.7,3581.23,5.67,72.05,9112.9,9272.3,81.78,410.7
1995Q4,5.72,5.26,5.44,5.69,5.89,125.47,128.8,153.7,84.4,1141.4,10857.7,3624.47,5.57,72.61,9176.4,9342.7,82.195,415
1996Q1,5.36,4.93,5.12,5.57,5.91,126.3,129.97,155.07,84.76,1118,10992.6,3662.87,5.53,73.09,9239.3,9414.5,82.67,415.5
1996Q2,5.24,5.02,5.66,6.49,6.72,127.83,131.03,156.4,85.15,1117.57,11123.9,3708.67,5.5,74.63,9399,9487.1,82.987,420.6
1996Q3,5.31,5.1,5.78,6.54,6.78,128.17,131.5,157.3,85.57,1100.03,11228.5,3737.97,5.27,75.64,9480.8,9561,83.25,429.8
1996Q4,5.28,4.98,5.48,6.1,6.34,128.43,132.6,158.67,86.07,1090.53,11359.2,3789.07,5.33,76.63,9584.3,9636.3,83.71,438
1997Q1,5.28,5.06,5.65,6.36,6.56,128.5,132.77,159.63,86.48,1074.63,11501.8,3836,5.23,78.06,9658,9713.1,84.251,442.6
1997Q2,5.52,5.05,5.85,6.57,6.7,127.2,131.53,160,86.95,1064.67,11630.8,3878,5,79.29,9801.2,9791.6,84.447,448.8
1997Q3,5.53,5.05,5.54,6.13,6.24,127.2,131.3,160.8,87.17,1064.8,11814.6,3930.5,4.87,81.15,9924.2,9871.7,84.742,457.1
1997Q4,5.51,5.09,5.48,5.83,5.91,127.5,131.63,161.67,87.49,1076.4,11997.2,4002.27,4.67,83.12,10000.3,9953.6,85.055,467.6
1998Q1,5.52,5.05,5.31,5.51,5.59,125.03,130.6,162,87.79,1074.1,12218.8,4077.27,4.63,84.03,10094.8,10037.5,85.198,473.2
1998Q2,5.5,4.98,5.41,5.59,5.6,124.93,130.53,162.53,88.11,1077.9,12444.8,4149.9,4.4,84.63,10185.6,10123.2,85.402,478.9
1998Q3,5.53,4.82,5.09,5.12,5.2,124.3,130.5,163.37,88.45,1071.37,12652.9,4207.2,4.53,85.25,10320,10210.5,85.729,488.9
1998Q4,4.86,4.25,4.39,4.39,4.67,123.47,131,164.13,88.78,1098.87,12978,4328.27,4.43,86.38,10498.6,10299.2,85.988,503.2
1999Q1,4.73,4.41,4.66,4.88,4.98,122.6,131.47,164.73,89.12,1095.53,13206.6,4410.27,4.3,87.25,10592.1,10389.1,86.371,512
1999Q2,4.75,4.45,4.88,5.44,5.54,124.5,132.27,165.97,89.43,1102.73,13396.5,4467.83,4.27,88.09,10674.9,10480.2,86.675,523.7
1999Q3,5.09,4.65,5.16,5.77,5.88,126.87,133.57,167.2,89.73,1092.07,13595.2,4517.33,4.23,88.96,10810.7,10572.6,86.998,537.5
1999Q4,5.31,5.04,5.61,6.06,6.14,127.93,134.83,168.43,90.1,1118.77,13776.6,4595.83,4.07,90.59,11004.8,10666.4,87.305,573.5
2000Q1,5.68,5.52,6.19,6.59,6.48,129.63,136.37,170.1,90.65,1111.07,13992.9,4673.2,4.03,91.65,11033.6,10761.6,88,572.8
2000Q2,6.27,5.71,6.22,6.42,6.18,132.03,137.33,171.43,90.93,1109.3,14223.5,4742.9,3.93,92.68,11248.8,10859.8,88.446,566.4
2000Q3,6.52,6.02,6.13,6.06,5.89,133.77,138.37,173,91.3,1095.37,14389.8,4783,4,92.55,11258.3,10958.9,88.979,570.3
2000Q4,6.47,6.02,5.9,5.55,5.57,135.53,140.07,174.23,91.74,1098.67,14601.7,4872.47,3.9,92.24,11325,11058.5,89.447,577.2
2001Q1,5.59,4.82,4.6,4.8,5.05,137.77,141.6,175.9,92.3,1100.47,14988.8,5003.07,4.23,90.92,11287.8,11158.1,90.054,584.1
2001Q2,4.33,3.66,3.78,4.83,5.27,136.23,142.03,177.13,92.65,1122.57,15362.3,5122.23,4.4,89.68,11361.7,11256.6,90.666,591.4
2001Q3,3.5,3.17,3.3,4.48,4.98,133.37,140.7,177.63,92.86,1159.27,15705.6,5223.77,4.83,88.42,11330.4,11353.9,90.952,607.2
2001Q4,2.13,1.91,2.24,4.09,4.77,129.4,138.5,177.5,93.33,1178.9,16061.1,5359.8,5.5,87.4,11370,11449.4,91.232,623.2
2002Q1,1.73,1.72,2.32,4.46,5.08,128.9,138.17,178.07,93.65,1188.97,16342.1,5449.9,5.7,87.97,11467.1,11541.1,91.555,636.9
2002Q2,1.75,1.72,2.34,4.44,5.1,130.83,138.63,179.47,94.2,1192.53,16469.3,5492.57,5.83,89.38,11528.1,11631.5,91.965,649.6
2002Q3,1.74,1.64,1.81,3.35,4.26,131.67,138.83,180.43,94.69,1189.5,16778.2,5583.3,5.73,89.91,11586.6,11719.6,92.363,661.1
2002Q4,1.44,1.33,1.53,3.01,4.01,133.07,139.9,181.5,95.02,1215.8,17127.2,5715.43,5.87,89.83,11590.6,11805.1,92.894,669.7
2003Q1,1.25,1.16,1.3,2.91,3.92,138.03,142.6,183.37,95.25,1231.77,17402.5,5798.17,5.87,90.53,11638.9,11888.3,93.543,680.8
2003Q2,1.25,1.04,1.15,2.57,3.62,137.17,142.27,183.07,95.61,1270,17750.8,5922.17,6.13,89.81,11737.5,11966.9,93.815,690.1
2003Q3,1.02,0.93,1.22,3.14,4.23,138.07,143.5,184.43,96.02,1288.47,18114.9,6029.5,6.13,90.23,11930.7,12042.9,94.337,695.5
2003Q4,1,0.92,1.3,3.25,4.29,139.23,144.83,185.13,96.41,1304.77,18097,6040.37,5.83,90.95,12038.6,12116.4,94.818,708.4
2004Q1,1,0.92,1.22,2.99,4.02,142.2,145.97,186.7,96.99,1315.1,18240.9,6071.8,5.7,91.59,12117.9,12187.1,95.643,713.8
2004Q2,1.01,1.08,1.78,3.72,4.6,146.27,148,188.17,97.62,1341.1,18629.7,6219.5,5.6,91.98,12195.9,12256.1,96.45,721.7
2004Q3,1.43,1.49,2.08,3.51,4.3,147.7,148.53,189.37,98.1,1346.5,18838.7,6271.53,5.43,92.49,12286.7,12324.3,97.149,735.9
2004Q4,1.95,2.01,2.47,3.49,4.17,150.53,151.57,191.4,98.55,1374.3,19096.3,6370.37,5.43,93.8,12387.2,12392.4,97.874,747.6
2005Q1,2.47,2.54,3.06,3.88,4.3,152.07,152.77,192.37,99.24,1365.77,19207.5,6392.83,5.3,95.15,12515,12462.5,98.776,751
2005Q2,2.94,2.86,3.34,3.87,4.16,154.53,154,193.67,99.77,1374.03,19340.4,6461.63,5.1,95.58,12570.7,12533.1,99.437,756.6
2005Q3,3.46,3.36,3.79,4.04,4.21,158.7,156.7,196.6,100.17,1368.2,19607.2,6526.57,4.97,95.21,12670.5,12604.4,100.458,764.8
2005Q4,3.98,3.83,4.29,4.39,4.49,164.3,159.6,198.43,100.83,1378.17,19883.7,6627.67,4.97,95.96,12735.6,12676.7,101.302,776.3
2006Q1,4.46,4.39,4.63,4.55,4.57,162.77,159.5,199.47,101.32,1376.9,20144,6709.8,4.73,96.92,12896.4,12750.3,102.055,787
2006Q2,4.91,4.7,5.02,4.99,5.07,165.4,160.87,201.27,102.03,1387.8,20355,6804.37,4.63,97.53,12948.7,12825.8,102.948,793.5
2006Q3,5.25,4.91,5.09,4.84,4.9,166.7,161.1,203.17,102.6,1361.7,20631.3,6862.07,4.63,97.89,12950.4,12902.4,103.724,794.3
2006Q4,5.25,4.9,4.99,4.6,4.63,164.13,159.93,202.33,103.11,1371.63,20996.9,6994.9,4.43,98.03,13038.4,12979.9,104.186,802.4
2007Q1,5.26,4.98,5.01,4.65,4.68,166.7,162.57,204.32,103.86,1364.37,21300.5,7103.47,4.5,99.01,13056.1,13058.4,105.38,806.4
2007Q2,5.25,4.74,4.93,4.76,4.85,172.83,165.8,206.63,104.29,1382.33,21656.1,7240.9,4.5,100.12,13173.6,13138.1,106.098,809.7
2007Q3,5.07,4.3,4.52,4.5,4.73,173.67,166.93,207.94,104.83,1365.33,21974.7,7302.23,4.67,100.36,13269.8,13217.7,106.453,812.6
2007Q4,4.5,3.39,3.62,3.79,4.26,177.43,171.13,210.49,105.55,1377.63,22253.9,7408.97,4.8,100.51,13326,13296.5,106.958,818.4
2008Q1,3.18,2.04,2.1,2.75,3.66,183.87,174.2,212.77,106.21,1380.37,22669.8,7572.17,5,100.22,13266.8,13373.3,107.591,815.4
2008Q2,2.09,1.63,2.07,3.16,3.89,196,178.5,215.54,106.84,1402.93,23051.1,7707.17,5.33,98.72,13310.5,13449.5,108.302,818.5
2008Q3,1.94,1.49,2.12,3.11,3.86,200.47,182.7,218.86,107.38,1419.77,23317.5,7738.83,6,95.46,13186.9,13523.3,109.162,832.2
2008Q4,0.51,0.3,0.99,2.18,3.25,178.03,173.63,213.85,107.64,1535.73,24113.8,8029.1,6.87,91.42,12883.5,13594,109.3,865.2
2009Q1,0.18,0.21,0.57,1.76,2.74,169.53,170.33,212.43,107.83,1575.27,24871.7,8312.87,8.27,86.56,12711,13660.1,109.539,894.4
2009Q2,0.18,0.17,0.52,2.23,3.31,171.33,171.37,213.48,108.29,1635,25140.4,8404.13,9.3,83.99,12701,13719.2,109.325,905.6
2009Q3,0.16,0.16,0.45,2.47,3.52,173.87,173.13,215.35,108.69,1649.2,25205.6,8363.07,9.63,85.03,12746.7,13774.8,109.457,911.4
2009Q4,0.12,0.06,0.35,2.3,3.46,176.9,176.27,217,109.34,1689.8,25400,8458.2,9.93,86.19,12873.1,13827.5,109.793,919.6
2010Q1,0.13,0.11,0.37,2.42,3.72,182.07,178.8,217.4,109.74,1695.53,25376.2,8483.6,9.83,87.84,12947.6,13877,110.216,927.6
2010Q2,0.19,0.15,0.38,2.25,3.49,184.23,178.73,217.28,110.12,1718.07,25619,8563.7,9.63,89.68,13019.6,13925.7,110.706,938.1
2010Q3,0.19,0.16,0.27,1.55,2.79,184.63,179.67,218.01,110.4,1732.33,25869.8,8577.23,9.5,91.12,13103.5,13974.4,111.238,948
2010Q4,0.19,0.14,0.26,1.49,2.86,188,182.97,219.64,110.6,1821.67,26244.3,8746.37,9.53,91.62,13181.2,14024.2,111.795,971.2
2011Q1,0.16,0.13,0.27,2.12,3.46,195.9,187.37,222.03,110.97,1873.67,26556.8,8877.97,9,92.61,13183.8,14078.9,112.372,990.3
2011Q2,0.09,0.05,0.21,1.86,3.21,203.7,190.7,224.57,111.6,1934.47,27027.4,9030.37,9.03,92.88,13264.7,14136.3,113.109,1017.2
2011Q3,0.08,0.02,0.13,1.15,2.43,203.83,192.17,226.18,112.14,2064.13,28275.3,9373.77,9,94.17,13306.9,14195.4,113.95,1034
2011Q4,0.07,0.01,0.11,0.95,2.05,200.77,192.97,226.97,112.5,2165.77,28787.3,9599.47,8.67,95.33,13441,14255.9,113.987,1055.5
2012Q1,0.1,0.07,0.16,0.9,2.04,202.17,193.73,228.27,113.12,2213.97,29238.6,9777.03,8.27,96.7,13506.4,14317.4,114.599,1082.5
2012Q2,0.15,0.09,0.19,0.79,1.82,201.8,192.83,228.84,113.6,2258.3,29611.6,9888.97,8.17,97.27,13548.5,14379.3,115.035,1104.5
2012Q3,0.14,0.1,0.18,0.67,1.64,202.4,195.2,230.03,113.91,2326.47,30251.4,10029.87,8.03,97.39,13652.5,14441.9,115.81,1119.2
2012Q4,0.16,0.09,0.17,0.69,1.71,202.27,196.2,231.28,114.18,2436.73,30938.8,10319.6,7.83,98.01,13665.4,14505.4,116.089,1147.6